method,dataset,dim,peak_memory_mb,vec_size,ef_search,qps,n_cmp,recall@1,recall@10,recall@100,recall@1000
PQ,youtube,1024,4674,256,200,2976.99,5526,0.6286,0.69809,0.717337,0.579701
PQ,youtube,1024,4674,512,10,20821.3,660,0.4912,0.500357,0.357634,0.130294
PQ,youtube,1024,4675,512,20,12585.2,955,0.5943,0.614342,0.491948,0.192578
PQ,youtube,1024,4675,512,30,9282.67,1223,0.6418,0.665868,0.5702,0.240236
PQ,youtube,1024,4675,512,40,7748.78,1483,0.6708,0.698396,0.622689,0.280521
PQ,youtube,1024,4675,512,50,6376.74,1740,0.6925,0.720795,0.660834,0.316076
PQ,youtube,1024,4675,512,60,5728.35,1995,0.708,0.737103,0.688595,0.347225
PQ,youtube,1024,4676,512,70,5104.36,2249,0.7191,0.749421,0.710629,0.375413
PQ,youtube,1024,4676,512,80,4779.56,2504,0.729,0.76068,0.728588,0.40124
PQ,youtube,1024,4676,512,90,5033.09,2759,0.7382,0.769619,0.743152,0.424831
PQ,youtube,1024,4676,512,100,4699.23,3012,0.7451,0.777008,0.755095,0.446429
PQ,youtube,1024,4676,512,110,4328.21,3268,0.7508,0.783707,0.765717,0.466882
PQ,youtube,1024,4676,512,120,4399.66,3521,0.7562,0.788566,0.773941,0.485358
PQ,youtube,1024,4676,512,130,5816.24,3775,0.7608,0.793776,0.781495,0.502916
PQ,youtube,1024,4676,512,140,5810.81,4030,0.7638,0.797995,0.787815,0.519221
PQ,youtube,1024,4676,512,150,5610.15,4284,0.7676,0.801565,0.793343,0.534401
PQ,youtube,1024,4676,512,160,5439.17,4539,0.7712,0.804995,0.798577,0.548893
PQ,youtube,1024,4676,512,170,5289.99,4792,0.7742,0.808065,0.803146,0.562196
PQ,youtube,1024,4676,512,180,5397.17,5047,0.7765,0.810924,0.807311,0.574974
PQ,youtube,1024,4676,512,190,5050.38,5301,0.7796,0.813754,0.811298,0.587076
PQ,youtube,1024,4676,512,200,4643.34,5555,0.7821,0.816154,0.814773,0.59843
PQ,youtube,1024,4676,1024,10,38438,662,0.523,0.510398,0.359101,0.130631
PQ,youtube,1024,4676,1024,20,25964,955,0.6334,0.629944,0.492406,0.192689
PQ,youtube,1024,4676,1024,30,20464.9,1221,0.6812,0.684173,0.570543,0.240323
PQ,youtube,1024,4676,1024,40,16925.6,1484,0.7165,0.720842,0.626032,0.281258
PQ,youtube,1024,4676,1024,50,14417.1,1741,0.7378,0.744031,0.664457,0.316654
PQ,youtube,1024,4676,1024,60,12719,1995,0.7534,0.761331,0.693434,0.348019
PQ,youtube,1024,4676,1024,70,11266.4,2251,0.7683,0.77642,0.716967,0.376444
PQ,youtube,1024,4676,1024,80,10487.3,2506,0.7781,0.78711,0.735299,0.402139
PQ,youtube,1024,4676,1024,90,8692.07,2760,0.7859,0.796219,0.750443,0.425691
PQ,youtube,1024,4676,1024,100,7883.22,3015,0.7934,0.804658,0.763431,0.447436
PQ,youtube,1024,4676,1024,110,6992.9,3270,0.7997,0.811658,0.774661,0.467743
PQ,youtube,1024,4676,1024,120,7575.77,3525,0.8054,0.817298,0.783817,0.486458
PQ,youtube,1024,4676,1024,130,6938.41,3780,0.8101,0.822708,0.792211,0.504135
PQ,youtube,1024,4676,1024,140,6494.09,4035,0.8154,0.827477,0.799312,0.520507
PQ,youtube,1024,4676,1024,150,6129.62,4290,0.8196,0.831607,0.805569,0.535969
PQ,youtube,1024,4676,1024,160,5373.34,4545,0.8229,0.834727,0.810934,0.550254
PQ,youtube,1024,4676,1024,170,4640.92,4800,0.8261,0.838147,0.816081,0.563793
PQ,youtube,1024,4676,1024,180,4131.04,5055,0.8293,0.841378,0.820705,0.576531
PQ,youtube,1024,4676,1024,190,4217.42,5310,0.8318,0.844568,0.824925,0.588493
PQ,youtube,1024,4676,1024,200,4291.37,5565,0.8346,0.847028,0.828701,0.599947
PQ,openai,1536,6484,192,10,16915.3,709,0.707,0.729855,0.543239,0.188681
PQ,openai,1536,6552,192,20,10868.6,1084,0.7549,0.778926,0.683571,0.282922
PQ,openai,1536,6564,192,30,8003.58,1459,0.7734,0.795482,0.742827,0.356761
PQ,openai,1536,6565,192,40,7595.43,1836,0.7821,0.80253,0.77067,0.417304
PQ,openai,1536,6565,192,50,5283.47,2217,0.7875,0.807299,0.785778,0.468737
PQ,openai,1536,6566,192,60,4431.95,2598,0.7928,0.810338,0.79477,0.512339
PQ,openai,1536,6566,192,70,4513.3,2982,0.7963,0.812678,0.800633,0.549803
PQ,openai,1536,6566,192,80,4847.95,3366,0.7986,0.813857,0.804461,0.581764
PQ,openai,1536,6566,192,90,4399.13,3751,0.8006,0.814737,0.807018,0.609205
PQ,openai,1536,6566,192,100,4022.18,4137,0.8018,0.815577,0.808915,0.632586
PQ,openai,1536,6566,192,110,3823.99,4524,0.8039,0.816247,0.810416,0.652755
PQ,openai,1536,6566,192,120,3541.16,4910,0.8042,0.816797,0.81154,0.669991
PQ,openai,1536,6566,192,130,3270.53,5297,0.8052,0.817356,0.812482,0.68483
PQ,openai,1536,6566,192,140,3219.74,5684,0.8058,0.817896,0.813196,0.697573
PQ,openai,1536,6566,192,150,3269.02,6072,0.8063,0.818156,0.813762,0.708669
PQ,openai,1536,6567,192,160,2500.69,6459,0.8065,0.818506,0.814332,0.718374
PQ,openai,1536,6567,192,170,2590.57,6846,0.8067,0.818616,0.814723,0.726886
PQ,openai,1536,6567,192,180,2527.6,7235,0.8073,0.818666,0.815054,0.734421
PQ,openai,1536,6567,192,190,2555.47,7622,0.8074,0.818836,0.815335,0.741041
PQ,openai,1536,6567,192,200,2412.93,8011,0.8078,0.819016,0.815572,0.746955
PQ,openai,1536,6567,256,10,18606.5,712,0.7434,0.756788,0.547909,0.188937
PQ,openai,1536,6588,256,20,12744.8,1086,0.7925,0.809949,0.697753,0.2832
PQ,openai,1536,6592,256,30,9741.7,1460,0.8093,0.826096,0.762946,0.357021
PQ,openai,1536,6593,256,40,7977.21,1839,0.8183,0.834725,0.795997,0.418015
PQ,openai,1536,6593,256,50,6884.07,2222,0.8257,0.840405,0.814289,0.469706
PQ,openai,1536,6593,256,60,5851.02,2604,0.8301,0.843435,0.824882,0.513632
PQ,openai,1536,6593,256,70,5279.69,2989,0.8332,0.845594,0.831807,0.551737
PQ,openai,1536,6593,256,80,4800.51,3372,0.8353,0.846934,0.836318,0.584483
PQ,openai,1536,6593,256,90,4478.98,3758,0.837,0.848104,0.839833,0.613236
PQ,openai,1536,6593,256,100,4129.27,4144,0.8388,0.848784,0.842101,0.638135
PQ,openai,1536,6593,256,110,3637.58,4532,0.8401,0.849614,0.844049,0.659879
PQ,openai,1536,6593,256,120,3381.39,4920,0.8412,0.850314,0.845535,0.678713
PQ,openai,1536,6593,256,130,3346.32,5308,0.8417,0.850754,0.846608,0.69503
PQ,openai,1536,6593,256,140,3239.57,5697,0.8426,0.851144,0.847533,0.709322
PQ,openai,1536,6594,256,150,3082.99,6086,0.8434,0.851524,0.848342,0.721944
PQ,openai,1536,6594,256,160,2854.24,6474,0.8443,0.851914,0.848968,0.73301
PQ,openai,1536,6594,256,170,2810.4,6863,0.8454,0.852314,0.849593,0.742857
PQ,openai,1536,6594,256,180,2652.34,7252,0.8459,0.852654,0.850045,0.75153
PQ,openai,1536,6594,256,190,2123.24,7641,0.8462,0.852804,0.850428,0.75919
PQ,openai,1536,6594,256,200,2103.16,8030,0.8465,0.852894,0.850837,0.766009
PQ,openai,1536,6595,384,10,17639.3,709,0.7804,0.786204,0.549809,0.188888
PQ,openai,1536,6597,384,20,11847.6,1083,0.8338,0.84599,0.708708,0.283011
PQ,openai,1536,6597,384,30,8807.11,1462,0.8553,0.867381,0.787058,0.357965
PQ,openai,1536,6597,384,40,7606.54,1841,0.8667,0.877701,0.827085,0.419317
PQ,openai,1536,6597,384,50,6119.93,2222,0.8738,0.882792,0.849208,0.470795
PQ,openai,1536,6598,384,60,5649.06,2607,0.8793,0.886682,0.86302,0.51487
PQ,openai,1536,6598,384,70,5105.85,2993,0.8834,0.889622,0.872114,0.553416
PQ,openai,1536,6598,384,80,4579.12,3378,0.8855,0.891062,0.87817,0.586909
PQ,openai,1536,6598,384,90,4242.28,3766,0.8871,0.892432,0.882656,0.61663
PQ,openai,1536,6598,384,100,3957.86,4154,0.8891,0.893352,0.885762,0.642904
PQ,openai,1536,6598,384,110,3622.57,4541,0.8903,0.894262,0.888146,0.666018
PQ,openai,1536,6598,384,120,3271.19,4932,0.8913,0.895212,0.890262,0.686952
PQ,openai,1536,6598,384,130,3260.92,5321,0.8922,0.895612,0.891731,0.705271
PQ,openai,1536,6598,384,140,3257.97,5710,0.8926,0.895922,0.892957,0.721551
PQ,openai,1536,6598,384,150,3039.77,6100,0.8935,0.896352,0.89398,0.736147
PQ,openai,1536,6598,384,160,2657.63,6489,0.8939,0.896672,0.894772,0.74917
PQ,openai,1536,6598,384,170,2254,6880,0.8949,0.897032,0.895486,0.760746
PQ,openai,1536,6598,384,180,1960.95,7272,0.8957,0.897323,0.896117,0.771215
PQ,openai,1536,6598,384,190,1756.64,7662,0.8958,0.897423,0.896597,0.780484
PQ,openai,1536,6598,384,200,1505.45,8053,0.8965,0.897733,0.897098,0.788933
PQ,openai,1536,6598,512,10,20823.3,709,0.8092,0.804893,0.552297,0.189343
PQ,openai,1536,6599,512,20,13307.4,1084,0.8649,0.870375,0.714571,0.283784
PQ,openai,1536,6603,512,30,10221.3,1460,0.8861,0.89242,0.798024,0.358197
PQ,openai,1536,6603,512,40,8129.55,1841,0.8976,0.90359,0.843155,0.419652
PQ,openai,1536,6603,512,50,6508.65,2225,0.904,0.910191,0.869548,0.471377
PQ,openai,1536,6603,512,60,6200.72,2608,0.9095,0.914282,0.885552,0.5155
PQ,openai,1536,6603,512,70,5377.81,2994,0.913,0.916762,0.896214,0.55394
PQ,openai,1536,6603,512,80,4944.15,3382,0.9156,0.918882,0.903664,0.587653
PQ,openai,1536,6603,512,90,4144,3770,0.917,0.920072,0.909055,0.61755
PQ,openai,1536,6603,512,100,4183.72,4159,0.9188,0.921442,0.912921,0.644034
PQ,openai,1536,6603,512,110,3670.89,4549,0.9208,0.922783,0.916232,0.667949
PQ,openai,1536,6603,512,120,3513.8,4938,0.9217,0.923493,0.918464,0.689161
PQ,openai,1536,6604,512,130,3458.45,5328,0.9228,0.924223,0.920309,0.708391
PQ,openai,1536,6604,512,140,3359.69,5718,0.9238,0.924883,0.921787,0.725648
PQ,openai,1536,6604,512,150,3090.96,6109,0.9246,0.925363,0.923063,0.741205
PQ,openai,1536,6604,512,160,3033.68,6500,0.9256,0.925733,0.924098,0.755324
PQ,openai,1536,6604,512,170,2702.88,6891,0.9261,0.926104,0.92492,0.768103
PQ,openai,1536,6604,512,180,2485.15,7283,0.9269,0.926374,0.925684,0.779664
PQ,openai,1536,6604,512,190,2553.85,7674,0.9274,0.926544,0.926363,0.790071
PQ,openai,1536,6604,512,200,2479.8,8066,0.9279,0.926804,0.926938,0.799609
PQ,openai,1536,6604,768,10,18952.7,709,0.8349,0.821546,0.551661,0.189359
PQ,openai,1536,6611,768,20,12656.8,1086,0.8963,0.894684,0.716085,0.284257
PQ,openai,1536,6612,768,30,9795.11,1463,0.9177,0.921099,0.804456,0.358876
PQ,openai,1536,6612,768,40,7935.57,1846,0.9286,0.934191,0.856033,0.420594
PQ,openai,1536,6613,768,50,6492.82,2228,0.9374,0.941771,0.886824,0.472164
PQ,openai,1536,6613,768,60,5726.13,2611,0.9428,0.946082,0.906551,0.516251
PQ,openai,1536,6613,768,70,5094.64,2998,0.9457,0.949143,0.919756,0.554759
PQ,openai,1536,6613,768,80,4863.52,3386,0.95,0.951614,0.92924,0.588597
PQ,openai,1536,6613,768,90,4425.99,3774,0.9513,0.953294,0.935963,0.618352
PQ,openai,1536,6613,768,100,4131.75,4163,0.9528,0.954615,0.941076,0.64486
PQ,openai,1536,6613,768,110,3917.26,4554,0.954,0.955575,0.945086,0.668688
PQ,openai,1536,6613,768,120,3764.34,4944,0.9554,0.956615,0.948115,0.690081
PQ,openai,1536,6613,768,130,3408.2,5335,0.9565,0.957385,0.95062,0.709473
PQ,openai,1536,6613,768,140,3136.93,5725,0.9581,0.957886,0.952527,0.727001
PQ,openai,1536,6613,768,150,3076.64,6117,0.959,0.958326,0.954142,0.743081
PQ,openai,1536,6613,768,160,3095.04,6508,0.9597,0.958886,0.955466,0.757626
PQ,openai,1536,6613,768,170,2933.61,6900,0.9602,0.959306,0.956689,0.771033
PQ,openai,1536,6613,768,180,2805.93,7291,0.9607,0.959616,0.957534,0.783267
PQ,openai,1536,6613,768,190,2627.69,7683,0.961,0.959816,0.95833,0.794574
PQ,openai,1536,6613,768,200,2484.99,8075,0.9618,0.960176,0.959021,0.804881
RabitQ,word2vec,300,3827,112,10,14493.5,498,0.251,0.2728,0.19498,0.0732061
RabitQ,word2vec,300,3835,112,20,11223.9,728,0.341,0.38,0.29092,0.114119
RabitQ,word2vec,300,3836,112,30,10420.7,935,0.402,0.4415,0.35851,0.148444
RabitQ,word2vec,300,3836,112,40,8997.99,1112,0.425,0.4763,0.40075,0.174012
RabitQ,word2vec,300,3837,112,50,8287.21,1288,0.449,0.507,0.43665,0.19809
RabitQ,word2vec,300,3837,112,60,7415.56,1459,0.462,0.5284,0.46407,0.219375
RabitQ,word2vec,300,3837,112,70,6137.55,1625,0.475,0.547599,0.48873,0.239121
RabitQ,word2vec,300,3837,112,80,5598.29,1799,0.487,0.562899,0.51029,0.259129
RabitQ,word2vec,300,3837,112,90,5122.29,1955,0.492,0.5731,0.52673,0.275116
RabitQ,word2vec,300,3837,112,100,4875.2,2116,0.5,0.5854,0.5416,0.290926
RabitQ,word2vec,300,3838,112,110,4303.92,2280,0.507,0.595599,0.55543,0.30634
RabitQ,word2vec,300,3838,112,120,3739.44,2431,0.518,0.603799,0.56667,0.319595
RabitQ,word2vec,300,3838,112,130,4026.42,2585,0.518,0.611299,0.57781,0.332972
RabitQ,word2vec,300,3838,112,140,3446.4,2742,0.525,0.618499,0.58743,0.345819
RabitQ,word2vec,300,3838,112,150,3540.81,2898,0.524,0.625099,0.59647,0.357736
RabitQ,word2vec,300,3839,112,160,2945.78,3053,0.528,0.631699,0.60497,0.369377
RabitQ,word2vec,300,3839,112,170,3400.9,3208,0.529,0.637399,0.61281,0.380636
RabitQ,word2vec,300,3839,112,180,3114.04,3364,0.524,0.642699,0.62036,0.391776
RabitQ,word2vec,300,3839,112,190,3042.17,3514,0.532,0.647899,0.62714,0.40167
RabitQ,word2vec,300,3839,112,200,3077.02,3663,0.535,0.651199,0.63295,0.411174
RabitQ,word2vec,300,3816,150,10,16572.4,502,0.28,0.2846,0.20172,0.074953
RabitQ,word2vec,300,3818,150,20,14065.4,724,0.359,0.3866,0.29406,0.115397
RabitQ,word2vec,300,3819,150,30,10346,925,0.409,0.4488,0.35815,0.14836
RabitQ,word2vec,300,3819,150,40,8962.98,1105,0.452,0.4916,0.40289,0.17468
RabitQ,word2vec,300,3821,150,50,7374.65,1284,0.482,0.521099,0.43963,0.198814
RabitQ,word2vec,300,3821,150,60,6295.95,1457,0.494,0.5435,0.4692,0.220509
RabitQ,word2vec,300,3821,150,70,6004.87,1627,0.504,0.5615,0.49295,0.240235
RabitQ,word2vec,300,3821,150,80,5362.64,1790,0.51,0.5759,0.51191,0.25798
RabitQ,word2vec,300,3821,150,90,4981.44,1952,0.524,0.5902,0.52828,0.274445
RabitQ,word2vec,300,3822,150,100,4553.57,2116,0.531,0.601,0.54318,0.290457
RabitQ,word2vec,300,3822,150,110,4518.42,2274,0.539,0.6121,0.55764,0.305573
RabitQ,word2vec,300,3822,150,120,3937.75,2436,0.55,0.6237,0.57073,0.319758
RabitQ,word2vec,300,3822,150,130,3730.41,2590,0.552,0.6312,0.58183,0.332774
RabitQ,word2vec,300,3822,150,140,3562.28,2754,0.555,0.64,0.59335,0.346205
RabitQ,word2vec,300,3822,150,150,3235.11,2912,0.557,0.6483,0.60331,0.358421
RabitQ,word2vec,300,3822,150,160,2436.25,3068,0.56,0.6557,0.61321,0.370498
RabitQ,word2vec,300,3822,150,170,3565.09,3224,0.562,0.6615,0.6218,0.381815
RabitQ,word2vec,300,3822,150,180,2617.52,3377,0.572,0.6673,0.62901,0.391908
RabitQ,word2vec,300,3822,150,190,2806.3,3529,0.573,0.671,0.63586,0.401953
RabitQ,word2vec,300,3822,150,200,2641.7,3676,0.578,0.6773,0.643661,0.41191
RabitQ,word2vec,300,3779,187,10,17436.5,501,0.281,0.2811,0.19622,0.073994
RabitQ,word2vec,300,3781,187,20,13387.1,728,0.361,0.3876,0.29221,0.115008
RabitQ,word2vec,300,3782,187,30,10446.1,927,0.426,0.4493,0.35468,0.147101
RabitQ,word2vec,300,3783,187,40,9490.79,1113,0.461,0.4905,0.39958,0.174199
RabitQ,word2vec,300,3783,187,50,8611.19,1288,0.489,0.5252,0.43773,0.198156
RabitQ,word2vec,300,3784,187,60,7559.56,1464,0.507,0.5486,0.46778,0.220033
RabitQ,word2vec,300,3784,187,70,5946.45,1633,0.518,0.5674,0.49143,0.239872
RabitQ,word2vec,300,3784,187,80,5631.68,1801,0.527,0.5809,0.51188,0.258209
RabitQ,word2vec,300,3785,187,90,4679.16,1966,0.538,0.5948,0.52984,0.275565
RabitQ,word2vec,300,3785,187,100,4697.58,2126,0.547,0.6081,0.54569,0.29154
RabitQ,word2vec,300,3785,187,110,4675.58,2283,0.554,0.6192,0.558309,0.305974
RabitQ,word2vec,300,3785,187,120,4362.22,2442,0.561,0.6303,0.57147,0.320123
RabitQ,word2vec,300,3785,187,130,4139.56,2601,0.57,0.6424,0.58414,0.333939
RabitQ,word2vec,300,3785,187,140,3613.23,2759,0.574,0.6506,0.59485,0.34651
RabitQ,word2vec,300,3785,187,150,3452.78,2915,0.577,0.6593,0.60571,0.358954
RabitQ,word2vec,300,3785,187,160,2931.4,3078,0.584,0.6674,0.61643,0.371416
RabitQ,word2vec,300,3785,187,170,3129.16,3230,0.591,0.6722,0.62502,0.382372
RabitQ,word2vec,300,3785,187,180,2968.75,3382,0.596,0.6775,0.63232,0.392558
RabitQ,word2vec,300,3785,187,190,2844.21,3534,0.602,0.6841,0.63973,0.402408
RabitQ,word2vec,300,3785,187,200,2249.08,3683,0.603,0.6892,0.64679,0.412298
RabitQ,word2vec,300,3963,262,10,17174,499,0.283,0.2796,0.19636,0.073764
RabitQ,word2vec,300,3965,262,20,13115,727,0.383,0.3919,0.29538,0.115893
RabitQ,word2vec,300,3967,262,30,10530.9,924,0.437,0.451,0.35802,0.147777
RabitQ,word2vec,300,3967,262,40,7625.35,1109,0.477,0.4931,0.40129,0.174558
RabitQ,word2vec,300,3968,262,50,7510.69,1284,0.505,0.5281,0.43877,0.198231
RabitQ,word2vec,300,3968,262,60,6598.42,1461,0.528,0.553,0.46861,0.220258
RabitQ,word2vec,300,3968,262,70,5871.77,1632,0.539,0.5716,0.49289,0.240213
RabitQ,word2vec,300,3969,262,80,5375.47,1796,0.549,0.5863,0.51216,0.257952
RabitQ,word2vec,300,3969,262,90,4894.66,1960,0.556,0.6017,0.53104,0.275432
RabitQ,word2vec,300,3969,262,100,4518.62,2118,0.563,0.6133,0.54599,0.290506
RabitQ,word2vec,300,3969,262,110,4254.6,2276,0.573,0.6247,0.55925,0.305417
RabitQ,word2vec,300,3969,262,120,3935.72,2434,0.585,0.6353,0.57161,0.319378
RabitQ,word2vec,300,3969,262,130,3690.17,2594,0.591,0.6465,0.58398,0.332945
RabitQ,word2vec,300,3969,262,140,3486.2,2752,0.595,0.6564,0.59511,0.346249
RabitQ,word2vec,300,3969,262,150,3299.43,2914,0.605,0.664,0.60596,0.358666
RabitQ,word2vec,300,3969,262,160,3193.97,3071,0.608,0.6741,0.61779,0.371189
RabitQ,word2vec,300,3969,262,170,3258.96,3225,0.613,0.6797,0.62536,0.381767
RabitQ,word2vec,300,3969,262,180,2739.34,3375,0.615,0.6838,0.63214,0.391754
RabitQ,word2vec,300,3969,262,190,2306.8,3527,0.623,0.6895,0.638881,0.401597
RabitQ,word2vec,300,3969,262,200,2560.06,3676,0.628,0.6951,0.64596,0.411148
RabitQ,word2vec,300,4030,300,10,11896.3,499,0.286,0.2814,0.19635,0.073751
RabitQ,word2vec,300,4032,300,20,8088,724,0.381,0.3896,0.29371,0.115378
RabitQ,word2vec,300,4033,300,30,7960.57,926,0.438,0.4529,0.35843,0.148003
RabitQ,word2vec,300,4033,300,40,7864.78,1106,0.472,0.4934,0.40124,0.174426
RabitQ,word2vec,300,4034,300,50,7333.82,1284,0.504,0.5307,0.43975,0.198553
RabitQ,word2vec,300,4034,300,60,6475.85,1460,0.531,0.5555,0.46975,0.220462
RabitQ,word2vec,300,4034,300,70,6228.67,1630,0.54,0.573,0.49282,0.240154
RabitQ,word2vec,300,4035,300,80,5300.39,1796,0.548,0.5879,0.51225,0.258076
RabitQ,word2vec,300,4035,300,90,3993.6,1960,0.558,0.6038,0.53181,0.27561
RabitQ,word2vec,300,4035,300,100,3801.5,2115,0.567,0.6153,0.54559,0.290512
RabitQ,word2vec,300,4035,300,110,3765.53,2277,0.578,0.6288,0.56042,0.305876
RabitQ,word2vec,300,4035,300,120,3865.54,2435,0.587,0.6389,0.57255,0.319947
RabitQ,word2vec,300,4035,300,130,3491.92,2591,0.592,0.6495,0.58471,0.333189
RabitQ,word2vec,300,4035,300,140,3167.9,2750,0.597,0.6588,0.596,0.346606
RabitQ,word2vec,300,4035,300,150,2809.69,2910,0.605,0.6661,0.60558,0.3586
RabitQ,word2vec,300,4035,300,160,2870.59,3067,0.61,0.6747,0.6164,0.37096
RabitQ,word2vec,300,4035,300,170,2884.48,3224,0.615,0.6805,0.62489,0.381852
RabitQ,word2vec,300,4035,300,180,2509.27,3376,0.617,0.6866,0.63274,0.39195
RabitQ,word2vec,300,4035,300,190,2568.95,3526,0.622,0.691,0.63924,0.401767
RabitQ,word2vec,300,4035,300,200,2741.44,3678,0.632,0.6977,0.64623,0.411611
RabitQ,word2vec,300,4020,337,10,14373.7,498,0.289,0.2819,0.19715,0.073943
RabitQ,word2vec,300,4022,337,20,16406.1,724,0.383,0.3901,0.29424,0.11549
RabitQ,word2vec,300,4023,337,30,10827,924,0.439,0.4528,0.35852,0.148021
RabitQ,word2vec,300,4024,337,40,8660.79,1105,0.474,0.4936,0.40117,0.174433
RabitQ,word2vec,300,4024,337,50,6058.76,1283,0.504,0.5299,0.43971,0.198622
RabitQ,word2vec,300,4024,337,60,7114.79,1460,0.531,0.5553,0.46941,0.220396
RabitQ,word2vec,300,4024,337,70,5982.16,1625,0.54,0.5724,0.49219,0.239536
RabitQ,word2vec,300,4025,337,80,5581.32,1793,0.549,0.5883,0.51199,0.257887
RabitQ,word2vec,300,4025,337,90,5402.23,1957,0.56,0.6035,0.53099,0.2753
RabitQ,word2vec,300,4025,337,100,4478.28,2115,0.57,0.6158,0.545601,0.290443
RabitQ,word2vec,300,4025,337,110,3939.43,2275,0.58,0.6289,0.56065,0.305792
RabitQ,word2vec,300,4025,337,120,3833.26,2433,0.588,0.6382,0.57211,0.319543
RabitQ,word2vec,300,4025,337,130,3777.53,2590,0.593,0.6493,0.58397,0.332935
RabitQ,word2vec,300,4025,337,140,3053.47,2751,0.599,0.66,0.59643,0.346726
RabitQ,word2vec,300,4025,337,150,3304.94,2910,0.604,0.6663,0.6058,0.358554
RabitQ,word2vec,300,4025,337,160,3001.16,3067,0.612,0.6743,0.61661,0.370987
RabitQ,word2vec,300,4025,337,170,3161.91,3222,0.618,0.681,0.62516,0.381773
RabitQ,word2vec,300,4025,337,180,2961.27,3374,0.618,0.6865,0.63239,0.391864
RabitQ,word2vec,300,4025,337,190,2595.43,3526,0.626,0.6917,0.63914,0.401713
RabitQ,word2vec,300,4025,337,200,2697.53,3676,0.635,0.698699,0.64623,0.411569
RabitQ,msong,420,4190,157,10,18291.9,498,0.97,0.861202,0.58932,0.187519
RabitQ,msong,420,4196,157,20,14679.3,778,0.992,0.898803,0.74867,0.289791
RabitQ,msong,420,4201,157,30,11465.2,1062,0.996,0.911003,0.82962,0.371148
RabitQ,msong,420,4201,157,40,9338.96,1349,0.997,0.916703,0.87251,0.439489
RabitQ,msong,420,4206,157,50,4776.43,1637,0.997,0.919403,0.89644,0.497013
RabitQ,msong,420,4206,157,60,5239.15,1926,0.997,0.921903,0.91102,0.54551
RabitQ,msong,420,4206,157,70,4837.66,2217,0.997,0.922703,0.92049,0.588615
RabitQ,msong,420,4206,157,80,5000.03,2506,0.997,0.922803,0.92714,0.625788
RabitQ,msong,420,4206,157,90,4450.11,2797,0.997,0.923003,0.93123,0.658545
RabitQ,msong,420,4207,157,100,4205.58,3087,0.997,0.923503,0.934581,0.687663
RabitQ,msong,420,4207,157,110,3886.72,3378,0.997,0.923903,0.93683,0.713548
RabitQ,msong,420,4207,157,120,3565.41,3667,0.997,0.924003,0.93882,0.73661
RabitQ,msong,420,4207,157,130,3426.16,3956,0.997,0.924203,0.940071,0.756673
RabitQ,msong,420,4207,157,140,3483.21,4245,0.997,0.924203,0.94132,0.775188
RabitQ,msong,420,4207,157,150,3438.66,4532,0.997,0.924203,0.94224,0.791425
RabitQ,msong,420,4207,157,160,2734.55,4818,0.997,0.924303,0.94294,0.805883
RabitQ,msong,420,4207,157,170,2521.95,5108,0.997,0.924403,0.94351,0.819701
RabitQ,msong,420,4207,157,180,2524.91,5396,0.997,0.924503,0.94398,0.831761
RabitQ,msong,420,4207,157,190,2492.67,5685,0.997,0.924403,0.94449,0.842722
RabitQ,msong,420,4208,157,200,2554.42,5973,0.997,0.924503,0.94479,0.85261
RabitQ,msong,420,4283,210,10,14846.6,498,0.971,0.881402,0.59019,0.187494
RabitQ,msong,420,4290,210,20,9382.27,780,0.993,0.924103,0.75094,0.290195
RabitQ,msong,420,4295,210,30,8539.44,1061,0.996,0.939403,0.83442,0.371568
RabitQ,msong,420,4296,210,40,7446.52,1349,0.996,0.945703,0.88147,0.439705
RabitQ,msong,420,4296,210,50,6469.13,1639,0.997,0.949003,0.909859,0.49763
RabitQ,msong,420,4297,210,60,5811.52,1926,0.997,0.952203,0.927179,0.545989
RabitQ,msong,420,4300,210,70,4014.11,2217,0.997,0.953003,0.938309,0.589091
RabitQ,msong,420,4300,210,80,3600.34,2509,0.997,0.953903,0.946189,0.626698
RabitQ,msong,420,4300,210,90,3452.15,2800,0.997,0.954703,0.951178,0.659216
RabitQ,msong,420,4300,210,100,3564.72,3088,0.997,0.955303,0.954318,0.687963
RabitQ,msong,420,4300,210,110,3748.29,3379,0.997,0.955303,0.957338,0.713853
RabitQ,msong,420,4300,210,120,3444.74,3668,0.997,0.955903,0.959428,0.736785
RabitQ,msong,420,4301,210,130,3285.14,3958,0.997,0.956003,0.961038,0.757581
RabitQ,msong,420,4301,210,140,3101.72,4247,0.997,0.956303,0.962497,0.775772
RabitQ,msong,420,4301,210,150,2978.63,4534,0.997,0.956303,0.963587,0.792247
RabitQ,msong,420,4301,210,160,2845.58,4821,0.997,0.956403,0.964447,0.807093
RabitQ,msong,420,4301,210,170,2725.13,5108,0.997,0.956603,0.965067,0.820565
RabitQ,msong,420,4301,210,180,2551,5396,0.997,0.956603,0.965737,0.832978
RabitQ,msong,420,4301,210,190,2409.19,5687,0.997,0.956603,0.966227,0.844433
RabitQ,msong,420,4301,210,200,2426.16,5977,0.997,0.956603,0.966757,0.854878
RabitQ,msong,420,4322,262,10,13879.9,500,0.973,0.895502,0.59052,0.188068
RabitQ,msong,420,4327,262,20,11949.4,777,0.992,0.939102,0.74897,0.289322
RabitQ,msong,420,4329,262,30,9625.6,1062,0.996,0.957002,0.83625,0.372237
